origin,dest,dayofmonth,distance
ORD,DTW,3,235
ORD,DTW,3,235
ORD,FWA,3,157
ORD,FWA,3,157
ORD,MBS,3,222
ORD,MKG,3,118
ORD,DLH,3,397
ORD,CMX,3,360
ORD,FWA,3,157
ORD,MBS,3,222
ORD,PAH,3,342
ORD,SPI,3,174
ORD,SPI,3,174
ORD,CMX,3,360
ORD,DLH,3,397
ORD,EAU,3,269
ORD,DLH,3,397
ORD,SGF,3,438
ORD,CAK,3,343
ORD,CLE,3,316
ORD,MKE,3,67
PHX,LAX,3,370
ORD,MKE,3,67
ORD,BNA,3,409
ORD,GRR,3,137
ORD,DAY,3,240
ORD,MKE,3,67
ORD,MEM,3,491
ORD,FSD,3,462
ORD,CLE,3,316
ORD,BNA,3,409
ORD,FSD,3,462
ORD,PIA,3,130
PHX,LAX,3,370
PHX,LAX,3,370
ORD,DSM,3,299
ORD,GRB,3,173
ORD,MKE,3,67
ORD,BUF,3,474
ORD,IND,3,177
ORD,SBN,3,84
ORD,PIT,3,413
ORD,CWA,3,213
ORD,LNK,3,466
ORD,CID,3,196
ORD,SBN,3,84
ORD,MSP,3,334
ORD,SDF,3,286
ORD,CVG,3,264
ORD,OMA,3,416
ORD,SBN,3,84
ORD,LNK,3,466
ORD,LEX,3,323
ORD,MLI,3,139
ORD,TVC,3,224
ORD,BNA,3,409
DFW,IAH,3,224
DFW,MSY,1,447
DFW,MSY,2,447
DFW,MSY,3,447
ORD,MSP,1,334
ORD,MSP,2,334
ORD,MSP,3,334
ORD,MSP,1,334
ORD,MSP,2,334
ORD,MSP,3,334
ORD,MSP,1,334
ORD,MSP,2,334
ORD,MSP,3,334
CLT,TTN,1,484
CLT,PHL,1,449
CLT,CLE,2,430
CLT,PHL,2,449
CLT,MCO,2,468
CLT,CLE,3,430
CLT,PHL,3,449
CLT,MCO,3,468
ORD,DTW,1,235
ORD,DTW,1,235
ORD,DTW,1,235
ORD,MSP,1,334
CLT,ATL,1,226
ORD,DTW,1,235
ORD,MSP,1,334
CLT,ATL,1,226
ORD,MSP,1,334
CLT,ATL,1,226
ORD,DTW,1,235
CLT,ATL,1,226
CLT,ATL,1,226
ORD,MSP,1,334
CLT,ATL,1,226
ORD,MSP,1,334
CLT,ATL,1,226
CLT,ATL,1,226
ORD,MSP,1,334
CLT,ATL,1,226
CLT,ATL,1,226
ORD,DTW,2,235
ORD,DTW,2,235
ORD,DTW,2,235
ORD,MSP,2,334
CLT,ATL,2,226
ORD,DTW,2,235
ORD,MSP,2,334
CLT,ATL,2,226
ORD,MSP,2,334
CLT,ATL,2,226
ORD,DTW,2,235
CLT,ATL,2,226
CLT,ATL,2,226
ORD,MSP,2,334
CLT,ATL,2,226
ORD,MSP,2,334
CLT,ATL,2,226
CLT,ATL,2,226
ORD,MSP,2,334
CLT,ATL,2,226
CLT,ATL,2,226
ORD,DTW,3,235
ORD,MSP,3,334
ORD,MSP,3,334
CLT,ATL,3,226
CLT,ATL,3,226
CLT,ATL,3,226
CLT,ATL,3,226
ORD,MSP,3,334
ORD,MSP,3,334
CLT,ATL,3,226
CLT,ATL,3,226
CLT,ATL,3,226
DFW,SAT,1,247
DFW,SAT,2,247
DFW,SAT,3,247
DFW,XNA,3,280
DFW,XNA,3,280
DFW,TUL,1,237
DFW,TUL,2,237
ORD,MSP,1,334
ORD,MSP,2,334
DFW,SAT,1,247
DFW,SAT,2,247
DFW,SAT,3,247
DFW,SAT,1,247
CLT,RDU,2,130
CLT,RDU,3,130
DFW,MCI,1,460
DFW,MCI,2,460
DFW,MCI,3,460
DFW,MCI,1,460
DFW,MCI,2,460
DFW,MCI,3,460
DFW,TUL,3,237
DFW,MSY,1,447
DFW,MSY,3,447
DFW,XNA,2,280
ORD,STL,1,258
ORD,STL,1,258
ORD,STL,2,258
ORD,STL,3,258
ORD,STL,1,258
ORD,STL,2,258
ORD,STL,3,258
CLT,BWI,1,361
CLT,BWI,2,361
CLT,BWI,3,361
ORD,MCI,3,403
ORD,MSP,1,334
ORD,MSP,2,334
ORD,MSP,3,334
DFW,OKC,1,175
DFW,OKC,2,175
DFW,OKC,3,175
ORD,MSP,1,334
ORD,MSP,2,334
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
DFW,MFE,1,469
DFW,MFE,2,469
DFW,TUL,1,237
DFW,TUL,2,237
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
PHX,SNA,1,338
PHX,SNA,2,338
PHX,SNA,3,338
DFW,MCI,1,460
DFW,MCI,2,460
DFW,MCI,3,460
DFW,TUL,1,237
DFW,TUL,2,237
DFW,TUL,3,237
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
PHX,ONT,1,325
PHX,ONT,2,325
PHX,ONT,3,325
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
DFW,SAT,1,247
DFW,SAT,2,247
DFW,SAT,3,247
CLT,RDU,1,130
CLT,CLE,1,430
CLT,PIT,1,366
CLT,PIT,2,366
CLT,IND,1,427
CLT,PHL,1,449
CLT,PHL,2,449
CLT,PHL,3,449
CLT,RDU,1,130
CLT,RDU,2,130
CLT,RDU,3,130
CLT,PHL,1,449
CLT,PHL,2,449
CLT,PHL,3,449
CLT,IND,1,427
CLT,IND,2,427
CLT,IND,3,427
DFW,SAT,1,247
PHX,LAS,1,255
PHX,LAS,2,255
PHX,LAS,3,255
CLT,CLE,2,430
CLT,CLE,3,430
CLT,PHL,1,449
CLT,PHL,2,449
CLT,PHL,3,449
CLT,PIT,1,366
CLT,PIT,2,366
CLT,PIT,3,366
CLT,PIT,1,366
CLT,PIT,2,366
CLT,RIC,2,257
CLT,RIC,3,257
CLT,MDT,1,413
CLT,RDU,1,130
CLT,RDU,2,130
CLT,RDU,3,130
CLT,ATL,1,226
CLT,ATL,2,226
CLT,ATL,3,226
CLT,RDU,1,130
CLT,RDU,2,130
CLT,RDU,3,130
CLT,DCA,1,331
CLT,DCA,2,331
CLT,DCA,3,331
CLT,BNA,1,328
CLT,BNA,2,328
CLT,PIT,2,366
CLT,RDU,1,130
CLT,JAX,1,328
CLT,JAX,2,328
CLT,ILM,1,185
CLT,ILM,2,185
CLT,ILM,3,185
CLT,RIC,1,257
CLT,RIC,2,257
CLT,RIC,3,257
CLT,PIT,1,366
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
CLT,DCA,1,331
CLT,BWI,1,361
CLT,BWI,2,361
CLT,BWI,3,361
CLT,JAX,2,328
CLT,JAX,3,328
CLT,RDU,1,130
CLT,RDU,2,130
CLT,RDU,2,130
CLT,RDU,3,130
CLT,ORF,1,290
CLT,DCA,1,331
CLT,DCA,2,331
CLT,BWI,1,361
CLT,BWI,2,361
CLT,BWI,1,361
CLT,BWI,2,361
CLT,BWI,1,361
CLT,BWI,2,361
CLT,BWI,3,361
CLT,DCA,1,331
DFW,TUL,1,237
DFW,TUL,3,237
DFW,XNA,2,280
CLT,ATL,1,226
CLT,ATL,2,226
CLT,ATL,3,226
DFW,IAH,1,224
DFW,IAH,2,224
DFW,IAH,3,224
DFW,MEM,1,431
DFW,MEM,2,431
DFW,MEM,3,431
DFW,OKC,1,175
DFW,OKC,2,175
DFW,XNA,3,280
DFW,MFE,1,469
DFW,MFE,2,469
DFW,MFE,3,469
ORD,DTW,1,235
ORD,DTW,2,235
DFW,MSY,1,447
DFW,MSY,2,447
DFW,MSY,3,447
DFW,OKC,2,175
DFW,OKC,3,175
DFW,MCI,1,460
DFW,MCI,2,460
DFW,MCI,3,460
DFW,IAH,1,224
DFW,IAH,2,224
DFW,IAH,3,224
ORD,MSP,1,334
ORD,MSP,2,334
ORD,MSP,3,334
DFW,MSY,1,447
DFW,MSY,2,447
DFW,IAH,1,224
DFW,IAH,2,224
DFW,IAH,3,224
CLT,RDU,1,130
CLT,RDU,2,130
DFW,MSY,1,447
DFW,MSY,2,447
DFW,MSY,3,447
PHX,SAN,1,304
PHX,SAN,2,304
PHX,SAN,3,304
DFW,AMA,1,312
DFW,SAT,2,247
DFW,IAH,1,224
DFW,IAH,2,224
DFW,IAH,3,224
DFW,MCI,1,460
DFW,MSY,1,447
DFW,SAT,1,247
DFW,SAT,2,247
DFW,TUL,1,237
DFW,TUL,2,237
DFW,TUL,3,237
DFW,SAT,1,247
DFW,SAT,2,247
DFW,SAT,3,247
DFW,IAH,1,224
DFW,IAH,2,224
DFW,IAH,3,224
DFW,MEM,1,431
DFW,MEM,2,431
DFW,MEM,3,431
DFW,LBB,1,282
ORD,MSP,1,334
ORD,MSP,2,334
ORD,MSP,3,334
DFW,MSY,1,447
DFW,MSY,2,447
DFW,MSY,3,447
CLT,DCA,2,331
CLT,PHL,1,449
CLT,RIC,1,257
CLT,RIC,2,257
PHX,LAS,1,255
PHX,LAS,2,255
PHX,LAS,3,255
PHX,LAS,1,255
PHX,LAS,2,255
PHX,LAS,3,255
CLT,ATL,2,226
PHX,SAN,1,304
PHX,SAN,2,304
PHX,SAN,3,304
PHX,LAX,1,370
PHX,LAX,2,370
PHX,LAX,3,370
PHX,ONT,1,325
PHX,ONT,2,325
PHX,ONT,3,325
PHX,ONT,1,325
PHX,ONT,2,325
PHX,ONT,3,325
CLT,PHL,1,449
CLT,PHL,2,449
CLT,PHL,2,449
CLT,PHL,3,449
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
PHX,LAX,1,370
PHX,LAX,2,370
PHX,LAX,3,370
CLT,BWI,1,361
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
CLT,ATL,1,226
CLT,ATL,2,226
CLT,ATL,3,226
CLT,BWI,2,361
CLT,BWI,3,361
PHX,LAS,2,255
CLT,ATL,1,226
CLT,ATL,2,226
CLT,ATL,3,226
CLT,BNA,1,328
CLT,BNA,2,328
CLT,DCA,1,331
CLT,DCA,2,331
CLT,PHL,1,449
CLT,PHL,2,449
CLT,PHL,3,449
DFW,MCI,1,460
DFW,MCI,2,460
DFW,MCI,3,460
DFW,OKC,1,175
DFW,OKC,2,175
DFW,OKC,3,175
ORD,MSP,1,334
ORD,MSP,2,334
ORD,STL,3,258
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
DFW,MCI,1,460
DFW,MCI,2,460
DFW,MCI,3,460
ORD,PIT,1,413
ORD,PIT,2,413
CLT,BWI,1,361
CLT,BWI,2,361
CLT,BWI,3,361
CLT,DCA,3,331
CLT,DCA,2,331
PHX,LAS,1,255
PHX,LAS,2,255
PHX,LAS,3,255
CLT,SAV,1,213
CLT,ILM,1,185
CLT,JAX,1,328
CLT,JAX,2,328
DFW,SAT,2,247
DFW,SAT,3,247
CLT,RIC,3,257
CLT,JAX,3,328
CLT,PIT,1,366
CLT,PIT,2,366
CLT,MDT,1,413
CLT,MDT,2,413
CLT,MDT,3,413
CLT,JAX,1,328
CLT,JAX,2,328
CLT,SAV,1,213
CLT,SAV,2,213
CLT,BNA,1,328
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
CLT,CHS,1,168
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
CLT,DCA,1,331
CLT,DCA,2,331
CLT,DCA,3,331
CLT,DCA,1,331
CLT,DCA,2,331
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
CLT,BNA,2,328
CLT,JAX,1,328
CLT,PIT,1,366
CLT,PIT,2,366
CLT,PIT,1,366
CLT,PIT,2,366
CLT,PIT,3,366
CLT,ORF,1,290
CLT,ORF,2,290
CLT,ORF,3,290
CLT,DCA,1,331
CLT,DCA,2,331
CLT,DCA,3,331
CLT,DCA,1,331
CLT,DCA,2,331
CLT,DCA,3,331
CLT,BWI,1,361
CLT,ILM,2,185
CLT,RIC,1,257
CLT,RIC,2,257
CLT,RIC,3,257
CLT,CHS,2,168
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
CLT,BNA,1,328
CLT,BNA,2,328
CLT,BNA,3,328
CLT,BWI,2,361
CLT,BWI,3,361
CLT,PHL,1,449
CLT,PHL,2,449
CLT,PHL,3,449
PHX,LAX,1,370
PHX,LAX,2,370
PHX,LAX,3,370
CLT,CLE,1,430
CLT,MYR,2,157
CLT,MYR,3,157
CLT,IND,1,427
CLT,IND,2,427
CLT,JAX,1,328
CLT,JAX,2,328
CLT,JAX,1,328
CLT,JAX,2,328
CLT,CHS,1,168
CLT,PHL,1,449
CLT,PHL,2,449
CLT,PHL,3,449
CLT,RDU,1,130
CLT,RDU,2,130
CLT,IAD,1,322
CLT,CLE,1,430
CLT,CLE,2,430
CLT,CLE,3,430
CLT,ORF,1,290
CLT,ORF,2,290
CLT,CLE,1,430
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
CLT,PIT,1,366
DFW,OKC,1,175
ORD,MSP,1,334
ORD,MSP,2,334
ORD,MSP,3,334
DFW,CRP,1,354
ORD,STL,1,258
ORD,STL,2,258
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
DFW,MFE,1,469
DFW,MEM,1,431
DFW,MEM,2,431
DFW,MEM,3,431
DFW,SAT,1,247
DFW,SAT,2,247
DFW,SAT,3,247
PHX,SNA,1,338
PHX,SNA,2,338
PHX,SNA,3,338
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
DFW,IAH,1,224
DFW,IAH,2,224
DFW,IAH,3,224
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
DFW,XNA,2,280
DFW,OKC,2,175
DFW,OKC,3,175
PHX,SNA,2,338
PHX,SNA,3,338
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
DFW,TUL,1,237
DFW,TUL,2,237
PHX,SNA,1,338
DFW,XNA,2,280
DFW,IAH,1,224
DFW,IAH,2,224
DFW,IAH,3,224
DFW,SAT,1,247
DFW,SAT,2,247
DFW,SAT,3,247
DFW,TUL,1,237
DFW,TUL,2,237
DFW,XNA,3,280
PHX,LAX,1,370
PHX,LAX,2,370
PHX,LAX,3,370
CLT,ATL,1,226
PHX,SAN,1,304
PHX,SAN,2,304
PHX,SAN,3,304
PHX,SAN,1,304
PHX,SAN,2,304
PHX,SAN,3,304
CLT,ATL,1,226
CLT,ATL,2,226
CLT,ATL,3,226
PHX,LAX,1,370
PHX,LAX,2,370
PHX,LAX,3,370
PHX,SNA,1,338
PHX,SNA,2,338
PHX,SNA,3,338
CLT,PHL,1,449
CLT,PHL,2,449
CLT,PHL,3,449
PHX,SAN,1,304
PHX,SAN,2,304
PHX,SAN,3,304
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
DFW,IAH,1,224
DFW,IAH,2,224
DFW,XNA,3,280
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
PHX,SNA,2,338
PHX,SNA,3,338
DFW,MSY,1,447
DFW,MSY,2,447
DFW,IAH,1,224
DFW,IAH,2,224
DFW,IAH,3,224
ORD,STL,1,258
ORD,STL,2,258
PHX,LAS,1,255
PHX,LAS,2,255
PHX,LAS,3,255
PHX,SNA,1,338
ORD,MCI,1,403
ORD,MCI,2,403
ORD,MCI,3,403
DFW,SAT,1,247
DFW,SAT,2,247
DFW,SAT,3,247
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
ORD,DTW,1,235
ORD,DTW,2,235
ORD,MSP,3,334
DFW,ICT,1,328
DFW,ICT,2,328
DFW,ICT,3,328
DFW,SAT,1,247
DFW,SAT,2,247
DFW,SAT,3,247
DFW,OKC,2,175
DFW,OKC,3,175
CLT,BNA,1,328
CLT,BWI,1,361
CLT,BWI,1,361
PHX,ABQ,1,328
PHX,ABQ,1,328
PHX,ABQ,1,328
PHX,ABQ,1,328
PHX,ABQ,1,328
PHX,ABQ,1,328
PHX,ABQ,1,328
PHX,BUR,1,369
PHX,BUR,1,369
PHX,BUR,1,369
PHX,BUR,1,369
PHX,BUR,1,369
PHX,BUR,1,369
PHX,ELP,1,347
PHX,ELP,1,347
PHX,ELP,1,347
PHX,ELP,1,347
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAX,1,370
PHX,LAX,1,370
PHX,LAX,1,370
PHX,LAX,1,370
PHX,LAX,1,370
PHX,LAX,1,370
PHX,LAX,1,370
PHX,LAX,1,370
PHX,LAX,1,370
PHX,ONT,1,325
PHX,ONT,1,325
PHX,ONT,1,325
PHX,ONT,1,325
PHX,ONT,1,325
PHX,ONT,1,325
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SNA,1,338
PHX,SNA,1,338
PHX,SNA,1,338
PHX,SNA,1,338
PHX,SNA,1,338
PHX,SNA,1,338
PHX,SNA,1,338
CLT,BNA,2,328
CLT,BWI,2,361
CLT,BWI,2,361
PHX,ABQ,2,328
PHX,ABQ,2,328
PHX,ABQ,2,328
PHX,ABQ,2,328
PHX,ABQ,2,328
PHX,ABQ,2,328
PHX,ABQ,2,328
PHX,BUR,2,369
PHX,BUR,2,369
PHX,BUR,2,369
PHX,BUR,2,369
PHX,BUR,2,369
PHX,BUR,2,369
PHX,ELP,2,347
PHX,ELP,2,347
PHX,ELP,2,347
PHX,ELP,2,347
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAX,2,370
PHX,LAX,2,370
PHX,LAX,2,370
PHX,LAX,2,370
PHX,LAX,2,370
PHX,LAX,2,370
PHX,LAX,2,370
PHX,LAX,2,370
PHX,LAX,2,370
PHX,ONT,2,325
PHX,ONT,2,325
PHX,ONT,2,325
PHX,ONT,2,325
PHX,ONT,2,325
PHX,ONT,2,325
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SNA,2,338
PHX,SNA,2,338
PHX,SNA,2,338
PHX,SNA,2,338
PHX,SNA,2,338
PHX,SNA,2,338
PHX,SNA,2,338
CLT,BNA,3,328
CLT,BWI,3,361
CLT,BWI,3,361
PHX,ABQ,3,328
PHX,ABQ,3,328
PHX,ABQ,3,328
PHX,BUR,3,369
PHX,BUR,3,369
PHX,BUR,3,369
PHX,BUR,3,369
PHX,ELP,3,347
PHX,ELP,3,347
PHX,LAS,3,255
PHX,LAS,3,255
PHX,LAS,3,255
PHX,LAS,3,255
PHX,LAS,3,255
PHX,LAS,3,255
PHX,LAS,3,255
PHX,LAS,3,255
PHX,LAX,3,370
PHX,LAX,3,370
PHX,LAX,3,370
PHX,LAX,3,370
PHX,LAX,3,370
PHX,LAX,3,370
PHX,ONT,3,325
PHX,ONT,3,325
PHX,ONT,3,325
PHX,ONT,3,325
PHX,SAN,3,304
PHX,SAN,3,304
PHX,SAN,3,304
PHX,SAN,3,304
PHX,SAN,3,304
PHX,SAN,3,304
PHX,SAN,3,304
PHX,SNA,3,338
PHX,SNA,3,338
PHX,SNA,3,338
PHX,SNA,3,338
